key,kind,title,sidebar_title,slug,path,external_url,category,parent_key,nav_order,article_type,disposition,status,technical_risk,technical_status,public_safety_status,related_keys,summary,notes
cat-getting-started,category_hub,Getting started,Getting started,getting-started,/docs/getting-started/,,Getting started,,1,overview,maintain,approved,C,validated,reviewed_safe,cat-api-reference|cat-sites|cat-wordpress-management,"Learn what WP Cloud provides, prepare your integration, launch your offering, and get support.","Category hub for platform orientation, onboarding, support, and the first API workflow."
doc-getting-support,article,Get support from WP Cloud,Get support,get-support,/docs/getting-started/get-support/,,Getting started,cat-getting-started,4,how_to,maintain,approved,A,validated,reviewed_safe,doc-partner-support-tiers|doc-key-onboarding-steps|doc-api-quick-start|doc-partner-portal,"Find the correct WP Cloud support channel, collect useful evidence, and understand which issues WP Cloud and hosting partners handle.",Keep this article focused on the public support workflow and scope.
doc-partner-support-tiers,article,WP Cloud partner tiers and platform options,Partner tiers and platform options,partner-tiers-platform-options,/docs/partner-resources/partner-tiers-platform-options/,,Partner resources,cat-policies-reference,5,overview,maintain,approved,A,validated,reviewed_safe,doc-getting-support|doc-partner-portal|doc-key-onboarding-steps|doc-api-quick-start|doc-managed-software|doc-cron-scheduling|doc-on-demand-backups,"Compare Self-Service and Managed WP Cloud partnership models, including support, resources, implementation help, platform-configuration differences, and Managed-only custom chroots.","Cover partnership tiers, resources, feature availability, and platform configuration, not support alone. Custom chroots for managed software are available only to Managed partners. Omit changing revenue thresholds and nonpublic channels, qualify Managed services by the partnership agreement, and direct partnership inquiries to the Partner Portal."
doc-key-onboarding-steps,article,Onboard and launch with WP Cloud,Onboard and launch,onboard-launch,/docs/getting-started/onboard-launch/,,Getting started,cat-getting-started,2,tutorial,maintain,approved,A,validated,reviewed_safe,doc-getting-support|doc-api-quick-start|doc-partner-portal,"Follow the partner journey from evaluation and account setup through API testing, operating procedures, and launch.",Ordered partner journey from evaluation through launch.
doc-api-quick-start,article,WP Cloud API quick start,WP Cloud API quick start,api-quick-start,/docs/api-automation/api-quick-start/,,API & automation,cat-api-reference,2,tutorial,maintain,approved,A,validated,reviewed_safe,doc-getting-support|doc-key-onboarding-steps|doc-partner-portal|doc-api-access|doc-manage-domains,"Use the WP Cloud API to create and inspect sites, manage domains and certificates, change common site settings, and work with access, webhooks, and backups.",Keep the complete quick-start operation set here. Include only a compact production webhook setup and monitoring workflow; the focused Webhooks article remains canonical for complete event and signature details.
doc-partner-portal,article,WP Cloud Partner Portal,WP Cloud Partner Portal,partner-portal,/docs/getting-started/partner-portal/,,Getting started,cat-getting-started,3,overview,maintain,approved,A,validated,reviewed_safe,doc-getting-support|doc-key-onboarding-steps|doc-api-quick-start,"Use the authenticated WP Cloud Partner Portal to review account and partnership details, site inventory and Insights, manage available account features, contact support, and view accepted documents.",Keep the current portal sections and access boundaries. API key and billing management are restricted. Additional users can be invited to review Inventory and Insights. Do not invent portal roles or deeper permission behavior.
doc-platform-overview,article,WP Cloud platform overview,WP Cloud platform overview,platform-overview,/docs/getting-started/platform-overview/,,Getting started,cat-getting-started,1,overview,maintain,approved,A,validated,reviewed_safe,doc-getting-support|doc-key-onboarding-steps|doc-api-quick-start,"Understand how WP Cloud hosts and routes WordPress sites, manages software and cache layers, and divides responsibilities with partners.",Canonical platform orientation.
doc-glossary,article,WP Cloud glossary,Glossary,glossary,/docs/getting-started/glossary/,,Getting started,cat-getting-started,5,reference,maintain,ready_for_review,A,validated,reviewed_safe,cat-api-reference|cat-sites|cat-access-users|cat-performance|cat-security|cat-backups-recovery|cat-monitoring-observability|cat-infrastructure|cat-wordpress-management,"Look up common WP Cloud account, API, site, domain, infrastructure, cache, security, backup, monitoring, access, and WordPress runtime terms.","Definitions follow the maintained WP Cloud terminology standard, the complete public corpus, canonical topic articles, and the current generated WP Cloud API reference. Preserve distinctions for API names and asynchronous state, server pools, traffic and resource limits, platform roles, WordPress account boundaries, the runtime stack, network diagnostics, integrations, request and cache indicators, recovery states, and observability terminology."
cat-api-reference,category_hub,API & automation,API & automation,api-automation,/docs/api-automation/,,API & automation,,2,overview,maintain,approved,C,validated,reviewed_safe,cat-getting-started|cat-sites|cat-wordpress-management|doc-client-ssh,"Authenticate with the WP Cloud API and automate site, event, and fleet operations.",Use one short term description; the theme lists articles automatically.
doc-api-access,article,Manage and secure API keys,Manage and secure API keys,api-access,/docs/api-automation/api-access/,,API & automation,cat-api-reference,1,how_to,maintain,approved,A,validated,reviewed_safe,doc-api-quick-start,"Create, restrict, store, test, change, rekey, and revoke WP Cloud API keys through the Partner Portal or WP Cloud Support.",Keep credential handling and IP restrictions here; endpoint schemas remain in the generated API reference.
cat-sites,category_hub,Sites,Sites,sites,/docs/sites/,,Sites,,3,overview,maintain,approved,C,validated,reviewed_safe,cat-getting-started|cat-api-reference|cat-wordpress-management,"Create, configure, clone, stage, and manage sites and their domains.",Use one short term description; the theme lists articles automatically.
doc-cloning,article,Clone a site,Clone a site,cloning,/docs/sites/cloning/,,Sites,cat-sites,1,how_to,maintain,approved,B,validated,reviewed_safe,doc-site-meta|doc-api-quick-start|doc-delete-sites,"Clone a WP Cloud site from an existing site ID or domain, and understand how copied users, credentials, URLs, and Persistent Data behave.",
doc-site-meta,article,"Configure resources, site type, and billing with site meta","Configure resources, site type, and billing with site meta",site-meta,/docs/sites/site-meta/,,Sites,cat-sites,2,reference,maintain,approved,A,validated,reviewed_safe,doc-cloning|doc-api-quick-start|doc-delete-sites,"Configure PHP resources, storage, site type, and billing classification with WP Cloud site meta.","Add resource-tier and scaling details only after billing and limit validation. Preserve the documented ZFS accounting boundary, included and excluded storage, compression behavior, and the refresh interval for `space_used`."
doc-delete-sites,article,Delete a site,Delete a site,delete-sites,/docs/sites/delete-sites/,,Sites,cat-sites,3,how_to,maintain,approved,A,validated,reviewed_safe,doc-cloning|doc-site-meta|doc-api-quick-start,"Understand permanent deletion, consider a partner-owned grace period, and delete a site through the WP Cloud API.",Keep deletion and the optional soft-delete alternative here. Put irreversible effects beside the action; do not add a standalone verification section unless it has independently useful checks.
hub-domains,topic_hub,Domains,Domains,domains,/docs/sites/domains/,,Sites,cat-sites,4,overview,maintain,ready_for_review,C,validated,reviewed_safe,doc-manage-domains|doc-domain-verification-records|doc-tls-certificates|doc-custom-tls-certificates,"Manage WP Cloud site domains, DNS verification, aliases, primary-domain changes, DNS addresses, and TLS certificates.","Keep this as navigation. Focused child articles cover domain management, verification records, and TLS certificates."
doc-manage-domains,article,Manage site domains and aliases,Manage domains and aliases,manage-domains-aliases,/docs/sites/domains/manage-domains-aliases/,,Sites,hub-domains,1,how_to,maintain,approved,A,validated,reviewed_safe,doc-domain-verification-records|doc-tls-certificates|doc-ip-ranges|doc-multisite|doc-api-quick-start,"Manage primary and secondary WP Cloud site domains, control alias canonicalization, retrieve suggested DNS addresses, and avoid domain collisions.","Keep this focused on domain management and shared `canonicalize_aliases` behavior. The complete domain-based multisite procedure remains in the Multisite article. Validate API methods, paths, parameters, and response fields against the current public API contract when changing them."
doc-persistent-data,article,Persistent data,Persistent data,persistent-data,/docs/sites/persistent-data/,,Sites,cat-sites,5,reference,maintain,approved,B,validated,reviewed_safe,doc-cloning|doc-site-meta|doc-api-quick-start,"Store partner-controlled site values, update them through the API, and read them safely in WordPress.",
doc-staging-sites,article,Staging sites,Staging sites,staging-sites,/docs/sites/staging-sites/,,Sites,cat-sites,6,overview,maintain,approved,A,validated,reviewed_safe,doc-cloning|doc-site-meta|doc-api-quick-start,Provide customer-facing staging sites with the correct billing classification and an optional partner-owned promotion workflow.,
doc-domain-verification-records,article,Domain verification records,Domain verification records,domain-verification-records,/docs/sites/domains/domain-verification-records/,,Sites,hub-domains,2,how_to,maintain,approved,A,validated,reviewed_safe,doc-manage-domains|doc-tls-certificates,Publish WP Cloud DNS TXT verification records when a domain is already assigned to a different host client.,
doc-tls-certificates,article,TLS certificates,TLS certificates,tls-certificates,/docs/sites/domains/tls-certificates/,,Sites,hub-domains,3,overview,maintain,approved,A,validated,reviewed_safe,doc-manage-domains|doc-domain-verification-records|doc-custom-tls-certificates|doc-troubleshoot-tls-provisioning,"Understand how WP Cloud provisions, installs, and renews TLS certificates for site domains.",Focused platform behavior article. Troubleshooting moved to doc-troubleshoot-tls-provisioning.
doc-custom-tls-certificates,article,Manage custom TLS certificates,Custom TLS certificates,custom-tls-certificates,/docs/sites/domains/custom-tls-certificates/,,Sites,hub-domains,4,how_to,maintain,approved,A,validated,reviewed_safe,doc-tls-certificates|doc-domain-verification-records|doc-manage-domains,"Validate, stage, activate, renew, deactivate, and remove partner-supplied TLS certificates safely.",
cat-wordpress-management,category_hub,WordPress on WP Cloud,WordPress on WP Cloud,wordpress,/docs/wordpress/,,WordPress on WP Cloud,,6,overview,maintain,ready_for_review,C,validated,reviewed_safe,cat-getting-started|cat-api-reference|cat-sites,"Work with WordPress configuration, managed software, runtime versions, email, and command-line tools.","Category hub for managed software, runtime versions, email, WP-CLI, and WordPress configuration."
